, TME TMZ,TME Irradiation,TME TFP,TME TMZ + Irr,TME TMZ + Irr +TFP,CSF TMZ,CSF Irradiation,CSF TFP,CSF TMZ + Irr,CSF TMZ + Irr +TFP
111,61.63859112,54.23413533,76.5414885,59.04953013,62.98722873,,60.52380225,49.94100749,68.81321643,59.79433582
134,16.765,47.68978278,84.01848011,42.91550982,46.70549197,56.73873667,63.86278688,76.34798549,74.47788192,56.96979665
159,91.30166667,56.45552022,98.68192138,56.71674365,55.40722418,,100.2755119,93.89327871,104.4904803,95.34187523
216,90.77166667,61.23376779,88.34131765,49.41615092,59.20192934,,76.26668219,76.49716608,67.47971646,78.42258093
423,93.03187547,63.81224437,104.506155,43.11607113,46.41938514,,96.89355387,106.4631043,38.15901103,39.9618228
442,93.06414135,48.57672448,100.2828983,79.07714163,84.09730855,,79.94083327,74.33537106,86.23522722,94.59015358
448,96.41166667,50.06418093,93.66643967,60.27115957,59.64208356,,68.04277473,77.35076367,63.90243902,56.50174204
468,25.60865343,41.10502908,82.05613179,18.67126538,16.10161198,92.89316333,70.98080384,38.11440069,54.91309325,32.4816973
469,15.16897507,29.72136223,75.77615945,10.18276146,7.963211886,68.25912167,51.6390522,42.02302632,66.026649,36.34031283
495,93.14419349,73.40307692,118.6988543,60.62880672,59.82099453,,102.3485297,107.1045023,94.85473136,97.35973588
497,23.53702569,34.09551844,55.97234001,17.77765898,18.88647327,80.2896,43.45110209,36.23352592,49.28252472,35.87794558
501,95.88246288,52.57037609,68.8953374,51.11392073,57.06624978,,67.55767998,59.90403695,51.30484608,50.90276853
510,77.884,37.68723467,77.74609552,28.6237471,28.58014832,,86.74539599,53.87555031,93.77174267,29.62630458
BAH1,34.306,31.54954254,89.99328242,19.63548687,19.44117437,57.638256,42.57776295,50.82972202,41.66186447,21.50842496
FPW1,104.175,64.2764195,88.20143612,84.38569373,85.83124567,,78.29195692,88.07767121,87.73434797,84.33414043
HW1,23.044,43.39204974,97.26223395,40.58588065,47.79566957,90.733952,75.06946537,85.59844757,66.89158453,53.13115998
JK2,89.93,74.5408828,89.91905313,76.70844953,76.35482852,,89.13995499,80.01682625,80.73236127,64.75190068
MMK1,60.00166667,44.42780157,82.09851822,58.63416585,52.93198097,,57.28741992,64.6581868,68.9253754,65.3761565
MN1,27.52166667,31.03791075,102.7003434,32.01025182,36.6191219,59.68280333,58.92185175,84.54563823,71.12183208,70.47559485
PB1,112.27,22.74344139,68.55045699,25.48253395,25.73108782,,69.78021978,40.42748372,85.42466292,46.96388152
RKI1,49.378,81.36549832,91.13457931,43.44505438,52.02359438,72.1908775,77.98283526,70.53254021,57.88375943,55.31210352
RN1,89.73166667,90.22522129,96.43090113,81.30239242,95.81437235,,96.91519771,36.41155923,84.92801587,59.00380603
SB2b,112.2183383,48.625,108.3866667,51.3556301,54.12113765,,86.15,55.61166667,83.46926885,86.9210603
SJH1,70.48333333,74.98197838,93.66909135,92.2551626,92.01287597,,90.39642168,96.10897814,95.16437138,83.74055973
WK1,67.89218851,32.15248836,90.14987319,37.3702338,37.95996947,,39.995602,81.51933517,53.924586,47.10636132
